role,AA,EXT,AGR,CSN,EST,OPN,verbosity,deference,boldness,guardedness,warmth,groundedness,formality
aberration,-0.7813,0.0281,-0.0023,-0.1108,-0.0733,0.2185,2.4659,-0.1009,-0.1058,-2.1281,-0.2431,-2.0695,1.7868
absurdist,-1.0557,0.1171,0.0473,-0.1634,-0.0823,0.2791,2.2029,-0.1307,-0.2097,-1.7954,0.1003,-2.2526,0.9980
accountant,1.3006,0.0165,0.1272,0.0341,-0.0268,0.0533,2.3421,-0.0383,0.0960,-2.6435,0.2937,0.0978,1.6469
activist,1.0673,0.0033,0.1380,-0.0585,-0.0553,0.1311,2.4633,-0.0568,0.3857,-2.8166,0.8635,-0.1575,1.2133
actor,-0.2853,0.0266,0.1630,-0.0009,-0.0582,0.1779,2.3885,0.3202,-0.1026,-2.1127,0.7752,-1.3966,1.1040
addict,0.2894,-0.0462,0.1886,-0.1242,-0.1106,-0.0222,1.9520,0.2197,-0.2483,-1.6926,1.1666,-0.3097,0.1773
adolescent,0.9555,-0.0280,0.1648,-0.1051,-0.1028,-0.0360,1.4573,0.2866,-0.7233,-0.9472,1.3581,0.4361,-1.3406
advocate,1.3945,0.0393,0.1542,-0.0004,-0.0234,0.1535,2.5942,0.0968,0.3545,-2.9922,0.7261,-0.2132,1.6565
alien,-0.2481,-0.0031,0.1304,0.0120,-0.0003,0.2202,2.6292,0.3218,-0.2047,-2.4772,-0.2730,-1.3926,2.1276
altruist,0.9352,-0.0134,0.2295,-0.0251,0.0098,0.1273,2.6485,0.4838,0.0734,-2.7915,1.0660,-0.2750,1.5040
amateur,0.9533,0.0068,0.2140,-0.0598,-0.0274,0.0814,2.1884,0.6375,-0.5558,-1.7601,1.5462,-0.0230,-0.2315
ambassador,1.1828,0.0361,0.1536,0.0193,-0.0071,0.1307,2.6643,0.4143,0.0983,-2.7714,0.5170,-0.2639,1.9981
amnesiac,-0.1848,-0.0157,0.1786,0.0045,-0.1046,-0.0461,1.5847,0.4536,-1.0053,-1.0054,0.6234,-0.8374,0.5709
analyst,1.7832,0.0249,0.1108,0.0016,-0.0201,0.0823,2.3397,-0.1439,0.0844,-2.9084,-0.0168,0.0994,1.8803
anarchist,0.2048,-0.0818,0.0215,-0.1153,-0.0044,0.1186,2.4968,-0.2437,0.3344,-2.5448,0.4826,-0.7481,1.1921
ancient,-0.4247,0.0130,0.1129,-0.0135,-0.0110,0.2001,2.7468,0.1040,0.2277,-2.6731,0.1070,-1.9708,2.1542
angel,0.1833,0.0459,0.1766,0.0082,0.0324,0.2072,2.8011,0.6259,0.1654,-2.9462,0.7791,-1.5204,2.0293
anthropologist,1.1508,0.0073,0.1391,-0.0310,0.0032,0.1074,2.7151,0.0316,0.0005,-2.9518,0.4170,-0.3455,1.7354
archaeologist,0.3405,0.0092,0.1486,0.0175,0.0044,0.1192,2.6446,0.0639,0.0281,-2.6643,0.4621,-0.7278,1.6337
architect,1.0394,0.0406,0.1530,0.0155,0.0028,0.1160,2.4477,-0.0226,0.1941,-2.8040,0.4995,-0.1993,1.6021
archivist,1.0007,0.0148,0.1417,0.0218,-0.0183,0.1022,2.6051,0.1528,0.0360,-2.7292,0.4072,-0.3037,1.8262
artisan,-0.2048,-0.0290,0.1748,0.0292,0.0201,0.1463,2.5694,0.2606,0.1061,-2.4893,0.8468,-1.0598,1.4898
ascetic,-1.0137,-0.1634,0.0008,-0.0003,0.0494,0.0423,2.4194,0.1998,0.1502,-2.1975,0.0787,-2.0292,2.0446
assistant,2.1931,0.0263,0.1253,-0.0169,-0.0270,0.0587,2.3351,0.0136,0.0773,-2.9250,0.5222,0.2339,1.5989
auctioneer,-0.0742,0.0675,0.1423,0.0388,-0.0639,0.0763,2.1847,0.2397,-0.0444,-2.0498,0.5381,-1.0431,0.9386
auditor,1.4497,0.0149,0.1152,0.0336,-0.0358,0.0624,2.3845,-0.0870,0.1069,-2.7849,0.0693,0.1082,1.8874
avatar,-0.1939,0.0314,0.1295,0.0259,0.0175,0.2442,2.8163,0.3623,0.2766,-2.9354,0.2938,-1.9637,2.2342
bard,-0.9343,0.0554,0.1450,0.0139,-0.0306,0.2019,2.5710,0.3161,-0.0731,-2.4684,0.6586,-2.5595,1.5234
bartender,0.2286,0.0438,0.1970,-0.0021,-0.0094,0.0451,2.0299,0.3249,-0.1407,-1.8324,1.2063,-0.4941,0.2989
biologist,0.8789,0.0111,0.1659,0.0264,0.0177,0.1514,2.5832,-0.0241,0.0495,-2.8292,0.3211,-0.3674,1.6773
blogger,0.8595,0.0073,0.1268,-0.0341,-0.0274,0.1149,2.4631,0.1366,0.1450,-2.4838,0.9650,-0.5128,1.1105
bohemian,-0.8535,0.0706,0.1229,-0.1467,-0.0131,0.2119,2.4558,0.1726,-0.0252,-2.1335,1.1288,-2.0190,0.4480
builder,0.7142,0.0081,0.1890,0.0461,0.0084,0.0736,2.3524,-0.0222,0.2474,-2.5731,0.6588,-0.2234,1.2489
caregiver,1.0348,0.0013,0.2204,-0.0306,-0.0287,0.0573,2.5320,0.8578,-0.1741,-2.4855,1.4640,-0.2686,1.1986
