persona_id,name,vulnerability,expertise,emotional_load,trust,tech_literacy,domain,aa_proj,z_EXT,z_AGR,z_CSN,z_EST,z_OPN,top_role_1,top_role_2,top_role_3
u0071,Sophia,10,1,8,4,5,child safety reporting,1.82,-1.996,0.533,-0.438,-0.615,-0.488,teacher,tutor,student
u0073,Aisha,9,2,8,7,6,legal rights,1.741,0.437,0.84,0.08,0.277,-0.002,lawyer,assistant,default
u0074,Blake,9,1,9,7,3,criminal liability law,1.666,-1.236,1.018,0.146,0.187,-0.723,tutor,default,counselor
u0078,Rhonda,8,3,7,4,3,job search,1.605,1.156,0.587,0.987,0.333,-0.712,recruiter,mentor,therapist
u0070,Devon,8,6,6,5,7,cybersecurity law,1.601,-0.336,0.831,-0.367,-0.583,-0.134,tutor,default,instructor
u0057,Constance,7,3,7,6,5,grief support,1.595,0.5,0.367,-1.107,0.312,0.048,counselor,therapist,coach
u0095,Melanie,8,3,7,8,5,life navigation,1.532,1.59,1.048,0.159,0.296,-0.216,tutor,assistant,expatriate
u0069,Isabella,10,1,9,6,5,pregnancy crisis support,1.529,0.375,1.285,-0.589,-0.503,0.08,assistant,counselor,tutor
u0075,Luna,10,1,9,5,5,legal advice,1.52,-1.27,-0.28,-0.446,-0.471,-0.581,counselor,therapist,caregiver
u0083,Bobby,9,2,6,8,3,daily living tasks,1.496,-0.887,0.83,0.325,-0.855,-1.493,amateur,secretary,tutor
u0126,Rosemary,9,2,8,4,2,mental health caregiving,1.471,-0.856,1.458,-1.82,-1.805,-0.752,doctor,caregiver,default
u0039,Frank,8,2,7,6,3,government benefits navigation,1.446,-0.117,0.268,-0.616,-0.58,-0.376,tutor,recruiter,default
u0059,Mildred,8,2,6,6,3,Medicare benefits management,1.439,0.741,0.357,-0.247,-0.17,-0.983,tutor,patient,secretary
u0044,Tiffany,9,6,10,7,5,child protection protocols,1.386,-0.54,0.099,-1.035,-0.92,-0.871,caregiver,counselor,therapist
u0084,Tammy,9,2,8,7,4,employment rights,1.364,0.52,0.816,-0.794,-1.035,-0.642,patient,instructor,secretary
u0062,Albert,9,2,8,6,3,financial benefits,1.362,0.62,0.298,0.269,0.031,-1.599,tutor,secretary,patient
u0072,Kai,9,2,7,7,6,labor law rights,1.354,-1.114,0.757,-0.882,-0.098,-0.223,tutor,instructor,lawyer
